,seed,dataset,num_clients,split,split_args,model,model_params,glob_c_idx,glob_c_idx_ipcw,glob_ibs,iso_c_idx,iso_c_idx_ipcw,iso_ibs,fed_c_idx,fed_c_idx_ipcw,fed_ibs
270,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",cox_ph,{'epochs': 500},0.8115045771415467,0.7964830445839901,0.1221469432301743,0.815035385455055,0.7984309650369982,0.1309095912082555,0.838375635791553,0.8213879744950378,0.1253704398708167
274,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deephit,{'epochs': 500},0.824481451302044,0.8110963814066198,0.1251451892657549,0.8262991337830199,0.8124775247646928,0.1346818689319236,0.8446026812506927,0.8344812237661445,0.1207379074121773
271,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",deepsurv,{'epochs': 500},0.792551942000336,0.7797069518837055,0.141808210145511,0.8107830317106373,0.7964608993502452,0.1362581376729212,0.8079615008479544,0.7971344794667392,0.1214456114443064
273,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nmtlr,{'epochs': 500},0.8243037049996899,0.8112629313670432,0.135333548644742,0.8180357430387926,0.8031026497548046,0.1425440292150293,0.8194634292210738,0.8093562313495035,0.127234496489305
272,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",nnet-survival,{'epochs': 500},0.834338355072984,0.821376301368764,0.1232054280768606,0.8250827217350271,0.8112997819587762,0.1230831568114911,0.8461455888595588,0.8336234956393729,0.119898618473379
275,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",pc-hazard,{'epochs': 500},0.8405769017634525,0.8284207749963527,0.1214731804145792,0.8237014935568707,0.8104645643320361,0.1236684302206565,0.8193512050850777,0.8075043078877777,0.1229158614422652
394,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 500}",0.8258783281252505,0.8077468606103956,0.1725583217018,0.8207100581404669,0.8009253933264985,0.1761366668566285,0.8326041087974662,0.8121235030502217,0.172414751578479
395,5306,support2,10,label_skew,"{'min_samples': 25, 'alpha': 8.0}",rsf_ibs,"{'params': {'bootstrap': True, 'max_depth': 1, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_samples_leaf': 3, 'min_samples_split': 20, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 500, 'n_jobs': -1, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, 'num_fed_trees': 350}",0.8258783281252505,0.8077468606103956,0.1725583217018,0.8207100581404669,0.8009253933264985,0.1761366668566285,0.8175214637373147,0.7971087090118542,0.1511770460514891
264,5306,support2,10,uniform,{'min_samples': 25},cox_ph,{'epochs': 500},0.8179463122521572,0.8025114001419046,0.1221508241603668,0.8149107887823263,0.7988139117783322,0.1299231388318502,0.8388628697733003,0.8221694960364848,0.1250893827855499
268,5306,support2,10,uniform,{'min_samples': 25},deephit,{'epochs': 500},0.8237851040234095,0.8100942435644416,0.1257099696382123,0.8334668057037742,0.8189947100351528,0.1294650995944925,0.8456757809858856,0.8344432393483013,0.1208731234810699
